Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
Stop_Loss_Contract,Benefit_Provisions_Aggregate,Monthly_Aggregate_Accommodation_Applies,BPA_Accumulated_Aggregate_Losses,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MONTHLYACCO"" operator=""EQ"" compValue=""YES"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Aggregate,Run_Out_Not _Zero,BPA_Claims_Basis_Adjustment,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_RUNOUTAGG"" operator=""NE"" compValue=""6500"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Aggregate,Family_Deductible_Applies,BPA_Family_Deductible,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""FAMILYDEDUC"" operator=""EQ"" compValue=""Y"" /></Criteria>",Section,,
"('Stop_Loss_Contract', 'Benefit_Provisions_Aggregate', 'Gapless_With_Medical_and_Drug_Lives', 'BPA_Maximum_Eligible_Expenses_Medical_and_Drug', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""PRESCRIPTIONDRUGLIVES"" operator=""GT"" compValue=""0"" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALLIVES"" operator=""GT"" compValue=""0"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""SPECAGGRGAPLESSIND"" operator=""EQ"" compValue=""Y"" rParen="""" connector="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Maximum_Eligible_Expenses_Medical_and_Drug"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Aggregate', 'Gapless_With_Medical_Lives', 'BPA_Maximum_Eligible_Expenses_Medical_Excluding_Some_Drugs', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALLIVES"" operator=""GT"" compValue=""0"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""PRESCRIPTIONDRUGLIVES"" operator=""EQ"" compValue=""NULL"" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""SPECAGGRGAPLESSIND"" operator=""EQ"" compValue=""Y"" rParen="""" connector="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Maximum_Eligible_Expenses_Medical_Excluding_Some_Drugs"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Aggregate', 'Gapless_but_Drugs_Excluded', 'BPA_Maximum_Eligible_Expenses_Medical_No_Drug', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALEXCLDRUGIND"" operator=""EQ"" compValue=""Y"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""SPECAGGRGAPLESSIND"" operator=""EQ"" compValue=""Y"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Maximum_Eligible_Expenses_Medical_No_Drug"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Aggregate', 'Gapless_Not_Applicable', 'BPA_Maximum_Eligible_Expenses_Per_Schedule_Of_Benefits', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""SPECAGGRGAPLESSIND"" operator=""EQ"" compValue=""N"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Maximum_Eligible_Expenses_Per_Schedule_Of_Benefits"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,Benefit_Provisions_Aggregate,Monthly_Aggregate_Accomodation_Applies,BPA_Monthly_Aggregate_Accommodation,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MONTHLYACCO"" operator=""EQ"" compValue=""YES"" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Aggregate,Terminal_Liability_Option_Applies,BPA_Terminal_Liability,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGG"" operator=""NE"" compValue=""6624"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGGDESC"" operator=""NE"" compValue=""NULL"" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Aggregate,When_Terminal_Liability_Option_Contains_3-month,Initialize_Based_On_Terminal_Liability_Option,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGG"" operator=""EQ"" compValue=""6620"" rParen="""" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGG"" operator=""EQ"" compValue=""6621"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_AGG_TERM_LIABILITY_VALUE"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""3"" /></VariableItem></VariableList>",
