Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
Stop_Loss_Contract,Benefit_Provisions_Specific,Agreggating_Specific_Deductible_Applies,BPS_Aggregating Specific Deductible,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""GT"" compValue=""0"" compValueType=""float"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Specific,Annual_Maximum_Not_Unlimited_or_None_and_Lifetime_Maximum_Is_Unlimited,BPS_Annual_Maximum_Eligible_Expenses,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_ANNUALMAXAMT"" operator=""NE"" compValue=""6681"" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LIFETIMEMAXAMT"" operator=""EQ"" compValue=""6673"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_ANNUALMAXAMT"" operator=""NE"" compValue=""6673"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Specific,RunOut_Is_Not_Incurred_or_0_and_RunIn_Is_0,BPS_Claims_Basis_Adjustment,"<Criteria><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_RUNOUTDESC"" operator=""NE"" compValue=""INCURRED"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_RUNOUT"" operator=""NE"" compValue=""6500"" rParen="")"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_RUNIN"" operator=""EQ"" compValue=""6450"" /></Criteria>",Section,,
Stop_Loss_Contract,Benefit_Provisions_Specific,Family_Dedictible_Applies,BPS_Dependent_Specific_Benefit_Deductible,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""FAMILYDEDUC"" operator=""EQ"" compValue=""Y"" /></Criteria>",Section,,
"('Stop_Loss_Contract', 'Benefit_Provisions_Specific', 'Annual_Maximum_Not_Unlimited_or_None_and_Lifetime_Maximum_Is_Unlimited', 'BPS_Specific_Benefit_End', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_ANNUALMAXAMT"" operator=""NE"" compValue=""6681"" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LIFETIMEMAXAMT"" operator=""EQ"" compValue=""6673"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_ANNUALMAXAMT"" operator=""NE"" compValue=""6673"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPS_Specific_Benefit_End"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Specific', 'Annual_Maximum_Is_Unlimited_or_None_or_Lifetime_Maximum_Is_Not_Unlimited', 'BPS_Specific_Benefit_End_No_Max', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_ANNUALMAXAMT"" operator=""EQ"" compValue=""6681"" rParen="""" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LIFETIMEMAXAMT"" operator=""NE"" compValue=""6673"" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_ANNUALMAXAMT"" operator=""EQ"" compValue=""6673"" connector="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPS_Specific_Benefit_End_No_Max"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Specific', 'Specific_Deductible_and_Aggregate_Specific_Deductible_Applies', 'BPS_Specific_Deductible', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""SPECDEDUC"" operator=""GT"" compValue=""0"" compValueType=""float"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""GT"" compValue=""0"" compValueType=""float"" rParen="""" connector="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPS_Specific_Deductible"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Specific', 'Specific_Deductible_Only_Applies', 'BPS_Specific_Deductible_No_Aggregate', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""SPECDEDUC"" operator=""GT"" compValue=""0"" compValueType=""float"" connector=""AND"" /><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""EQ"" compValue=""0"" compValueType=""float"" rParen="""" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""EQ"" compValue=""NULL"" rParen="")"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPS_Specific_Deductible_No_Aggregate"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Benefit_Provisions_Specific', 'Aggregate_Specific_Deductible_Applies', 'BPS_Specific_Deductible_With_Aggregate', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""GT"" compValue=""0"" compValueType=""float"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPS_Specific_Deductible_With_Aggregate"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,Benefit_Provisions_Specific,Terminal_Liability_Option_Is_Not_No,BPS_Terminal_Liability,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITY"" operator=""NE"" compValue=""6164"" rParen="""" /></Criteria>",Section,,
