Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
Definition,Definition,DEF_Alternative_Care,DEF_Alternative_Care,1,0,0,US\uu49," AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Alternative_Care_AK,DEF_Alternative_Care,1,0,0,US\uu49, AK
Definition,Definition,DEF_Benefit_Month,DEF_Benefit_Month,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Catastrophic_Diagnosis,DEF_Catastrophic_Diagnosis,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Claims_Basis,DEF_Claims_Basis,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Covered_Benefits,DEF_Covered_Benefits,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Covered_Person,DEF_Covered_Person,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Covered_Unit,DEF_Covered_Unit,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Dependents,DEF_Dependents,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Dependents_CO,DEF_Dependents,1,0,0,IE\y159, CO
Definition,Definition,DEF_Dependents_DC,DEF_Dependents,1,0,0,US\uu49, DC
Definition,Definition,DEF_Dependents_NC,DEF_Dependents,1,0,0,US\uu49, NC
Definition,Definition,DEF_Drug_or_Alcohol_Depdence,DEF_Drug_or_Alcohol_Depdence,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Experimental_or_Investigational_Treatment,DEF_Experimental_or_Investigational_Treatment,1,0,0,US\uu49," AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Experimental_or_Investigational_Treatment_AK,DEF_Experimental_or_Investigational_Treatment,1,0,0,US\uu49, AK
Definition,Definition,DEF_Experimental_or_Investigational_Treatment_MD,DEF_Experimental_or_Investigational_Treatment,1,0,0,US\k347, MD
Definition,Definition,DEF_Incurred,DEF_Incurred,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Independent_Review_Panel,DEF_Independent_Review_Panel,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Medical_Management_Vendor,DEF_Medical_Management_Vendor,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Medically_Necessary_and_Appropriate,DEF_Medically_Necessary_and_Appropriate,1,0,0,US\uv90," AL, AR, AZ, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Medically_Necessary_and_Appropriate_AK,DEF_Medically_Necessary_and_Appropriate,1,0,0,US\uu49, AK
Definition,Definition,DEF_Medically_Necessary_and_Appropriate_CA,DEF_Medically_Necessary_and_Appropriate,2,0,0,YS20us, CA
Definition,Definition,DEF_Medically_Necessary_and_Appropriate_DC,DEF_Medically_Necessary_and_Appropriate,1,0,0,US\k651, DC
Definition,Definition,DEF_Medically_Necessary_and_Appropriate_MD,DEF_Medically_Necessary_and_Appropriate,1,0,0,US\k347, MD
Definition,Definition,DEF_Medically_Necessary_and_Appropriate_MT,DEF_Medically_Necessary_and_Appropriate,1,0,0,US\uu49, MT
Definition,Definition,DEF_Mental_Illness,DEF_Mental_Illness,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Off_Label_Drug_Use,DEF_Off_Label_Drug_Use,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Original_Aggregate_Benefit_Effective_Date,DEF_Original_Aggregate_Benefit_Effective_Date,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Original_Specific_Benefit_Effective_Date,DEF_Original_Specific_Benefit_Effective_Date,1,0,0,US\kk10," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Paid,DEF_Paid,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Plan,DEF_Plan,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Policy_Holder,DEF_Policy_Holder,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Prescription_Drug_Plan,DEF_Prescription_Drug_Plan,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Prescription_DrugsG,DEF_Prescription_Drugs,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Provider_Network,DEF_Provider_Network,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TX, UT, VA, VT, WA, WI, WV, WY"
Definition,Definition,DEF_Provider_Network_NY_TN,DEF_Provider_Network,1,0,0,US\uu49," NY, TN"
