Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,Anniversary_Effective_Date,Anniversary_Effective_Date,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,Contract_Effective_Date,Contract_Effective_Date,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Company_Name,ERRE_Company_Name,1,0,0,IE\ys20," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Company_Name_NY,ERRE_Company_Name,1,0,0,IE\ys20, NY
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Heading,ERRE_Heading,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Policy_Anniversary,ERRE_Policy_Anniversary,1,0,0,IE\y159," AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Policy_Anniversary_AK,ERRE_Policy_Anniversary,1,0,0,IE\y159, AK
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Policy_Number,ERRE_Policy_Number,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Policy_Year_NM_TN,ERRE_Policy_Year,1,0,0,IE\yo50," NM, TN"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Policyholder,ERRE_Policyholder,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Retention_Required_NM_TN,ERRE_Retention_Required,1,0,0,US\k651," NM, TN"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Retention_Required_No_NM_TN,ERRE_Retention_Required,1,0,0,US\k651," NM, TN"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,ERRE_Signed_For,ERRE_Signed_For,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,Header_Footer_No_Page_Number_F18,Header_Footer_No_Page_Number_F18,4,0,1,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Experience_Rating_Refund_Endorsement,Experience_Rating_Refund_Endorsement,STOP_LOSS_President_Signature_Left_Aligned,ERRE_President_Signature_Left_Justified,8,0,1,US\K377," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
