Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,Stop_Loss_2023SL_Header_Footer_Comment,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,2,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,Stop_Loss_2023SL_Header_Footer_Roman_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,1,0,1,yk09us, IL
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,Stop_Loss_2023SL_Header_Footer_Roman_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,2,0,1,yk09us, IL
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,TOC_BENE_PROV_AGGREGATE,TOC_BENE_PROV_AGGREGATE,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,TOC_BENE_PROV_CLINICAL_TRIAL_SPECIFIC,TOC_BENE_PROV_CLINICAL_TRIAL_SPECIFIC,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,TOC_BENE_PROV_SPECIFIC,TOC_BENE_PROV_SPECIFIC,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,TOC_END,TOC_END,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,TOC_Header_Footer,TOC_Table_Header,1,0,0,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-111133-XP_Table_of_Contents,GSLOT-111133-XP_Table_of_Contents,TOC_START,TOC_START,1,0,0,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
