Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_Continue_On_Paid_Basis,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_IP_Claim_Basis,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_IP_Claim_Basis,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_IP_Claim_Basis_ND,AMEND_Body,1,0,0,US\uv90, ND
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_Removed,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_Removed_Dependents_Not_Covered_ND_NY,AMEND_Body,1,0,0,US\uv90," ND, NY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_RunIn_Claim_Basis,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_RunIn_Limit_on_Aggreggate_Deductible,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Additional_Business_RunIn_Limit_with_Incurral_Max,AMEND_Body,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Amendments,GSLOT-11133-XP_Amendments,AMEND_Start,AMEND_Start,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
