Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_Continue_On_Paid_Basis', 'AMEND_Body', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABCONOPB"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_IP_Claim_Basis', 'AMEND_Body', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABIPCLMB"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_IP_Claim_Basis', 'AMEND_Body', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABRICLMB"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_Removed', 'AMEND_Body', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABREMOVE"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_RunIn_Claim_Basis\r\n', 'AMEND_Body', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABROCLMB"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_RunIn_Limit_on_Aggreggate_Deductible', 'AMEND_Body', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABRILAD"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'Is_Additional_Business_RunIn_Limit_with_Incurral_Max', 'AMEND_Body', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABRILIMT"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""AMEND_Additional_Business-RunIn_Limit_on_Aggr_Ded"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Check if Claimant Records Exist,AMEND_Claimant_Outer_Loop,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CLAIMANT"" varField=""eof:CLAIMANT"" operator=""EQ"" compValue=""N"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Check if Provision Records Exist,AMEND_Provision_Outer_Loop,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""eof:SPCLUWPROVISION"" operator=""EQ"" compValue=""N"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""LT"" compValue=""B"" connector="""" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Check If More CLAIMANT records to Process,GOTO:Claimant_Loop_Start,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CLAIMANT"" varField=""eof:CLAIMANT"" operator=""EQ"" compValue=""N"" /></Criteria>",GoTo,,Claimant_Loop_Start
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Check If More SPCLUWPROVISION records to Process,GOTO:Provision_Loop_Start,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""eof:SPCLUWPROVISION"" operator=""EQ"" compValue=""N"" /></Criteria>",GoTo,,Provision_Loop_Start
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Query,READ NEXT:Stop_Loss_Contract_DSG:CLAIMANT,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""CLAIMANT"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Query,READ NEXT:Stop_Loss_Contract_DSG:SPCLUWPROVISION,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""SPCLUWPROVISION"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Query CLAIMANT Standard,READ:Stop_Loss_Contract_DSG:CLAIMANT,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""CLAIMANT"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /><To fromField=""SPCLUWPROVISIONFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""SPCLUWPROVISION"" field=""SPCLUWPROVISIONPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Query SPCLUWPROVISION Standard,READ:Stop_Loss_Contract_DSG:SPCLUWPROVISION,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""SPCLUWPROVISION"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Query STOPLOSSSPECIFIC Standard,READ:Stop_Loss_Contract_DSG:STOPLOSSSPECIFIC,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""STOPLOSSSPECIFIC"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Is_Additional_Business_Removed,Set_Calculated_Date_Field_For_Removed_Provision,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""SPCLUWPROVISION"" varField=""XQPROVISIONCODE"" operator=""EQ"" compValue=""ABREMOVE"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""JUEF_CALCULATED_DATE"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue exitId=""1"" exitMethod=""UE_DateSubtract1Day""><ExitParm dsGroup=""Stop_Loss_Contract_DSG"" table=""CLAIMANT"" field=""ABAMENDEFFDATE"" /></VariableValue></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Criteria,Set_Header_Variables,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQBASEVARIATIONCD"" operator=""EQ"" compValue=""BASE"" rParen="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUDHEADERTEXTROW1LEFT"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Sun Life Assurance Company of Canada"" /></VariableItem><VariableItem varName=""SUDHEADERTEXTROW1RIGHT"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue /></VariableItem><VariableItem varName=""SUDHEADERTEXTROW2RIGHT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""NUD_AMENDMT_CNTR"" /></VariableItem><VariableItem varName=""SUDHEADERTEXTROW2LEFT"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Amendment No. "" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Amendments,Criteria,Set_Header_Variables_SLHIC,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQBASEVARIATIONCD"" operator=""EQ"" compValue=""SLHIC"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUDHEADERTEXTROW1RIGHT"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue /></VariableItem><VariableItem varName=""SUDHEADERTEXTROW1LEFT"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Sun Life and Health Insurance Company (U.S.)"" /></VariableItem><VariableItem varName=""SUDHEADERTEXTROW2RIGHT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""NUD_AMENDMT_CNTR"" /></VariableItem><VariableItem varName=""SUDHEADERTEXTROW2LEFT"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Amendment No. "" /></VariableItem></VariableList>",
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Amendments', 'If_Need_Debugging_On', 'Show_Provision_Codes_Debug_Only', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""LEGALENTITY"" operator=""EQ"" compValue=""DUMMY"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""Show_Provision_Codes_Debug_Only"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
