Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Benefit_Provisions_Aggregate', 'If_Rel_Provider_Not_100', 'BPA_Accumulated_Aggregate_Losses', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""RELATEDPROVIDERREIMBURSE"" operator=""NE"" compValue=""1"" compValueType=""float"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Accumulated_Aggregate_Losses_Domestic_Provider"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,GSLOT-11133-XP_Benefit_Provisions_Aggregate,Monthly_Aggregate_Accommodation_Applies,BPA_Accumulated_Aggregate_Losses,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MONTHLYACCO"" operator=""EQ"" compValue=""YES"" rParen="""" /></Criteria>",Section,,
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Benefit_Provisions_Aggregate', 'If_Rel_Provider_Reimburse_Not_100', 'BPA_Aggregate_Benefit', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""RELATEDPROVIDERREIMBURSE"" operator=""NE"" compValue=""1"" compValueType=""float"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Aggregate_Benefit_Related_Provider"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,GSLOT-11133-XP_Benefit_Provisions_Aggregate,Run_Out_Not _Zero,BPA_Claims_Basis_Adjustment,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_RUNOUTAGG"" operator=""NE"" compValue=""6500"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_Benefit_Provisions_Aggregate,Family_Deductible_Applies,BPA_Family_Deductible,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""FAMILYDEDUC"" operator=""EQ"" compValue=""Y"" /></Criteria>",Section,,
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Benefit_Provisions_Aggregate', 'Medical_Lives_and_Drug_Lives', 'BPA_Maximum_Eligible_Expenses_Medical_and_Drug', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""PRESCRIPTIONDRUGLIVES"" operator=""GT"" compValue=""0"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALLIVES"" operator=""GT"" compValue=""0"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Maximum_Eligible_Expenses_Medical_and_Drug"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Benefit_Provisions_Aggregate', 'Medical_Lives_No_Drugs', 'BPA_Maximum_Eligible_Expenses_Medical_Excluding_Some_Drugs', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALLIVES"" operator=""GT"" compValue=""0"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""PRESCRIPTIONDRUGLIVES"" operator=""EQ"" compValue=""NULL"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""BPA_Maximum_Eligible_Expenses_Medical_Excluding_Some_Drugs"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,GSLOT-11133-XP_Benefit_Provisions_Aggregate,Monthly_Aggregate_Accomodation_Applies,BPA_Monthly_Aggregate_Accommodation,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MONTHLYACCO"" operator=""EQ"" compValue=""YES"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_Benefit_Provisions_Aggregate,Terminal_Liability_Option_Applies,BPA_Terminal_Liability,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGG"" operator=""NE"" compValue=""6624"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGGDESC"" operator=""NE"" compValue=""NULL"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_Benefit_Provisions_Aggregate,When_Terminal_Liability_Option_Contains_3-month,Initialize_Based_On_Terminal_Liability_Option,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGG"" operator=""EQ"" compValue=""6620"" rParen="""" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TERMINALLIABILITYAGG"" operator=""EQ"" compValue=""6621"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_AGG_TERM_LIABILITY_VALUE"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""3"" /></VariableItem></VariableList>",
