Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,BPC_Bookmark,BPC_Bookmark,1,0,0,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,BPC_Clinical_Trials,BPC_Clinical_Trials,1,0,0,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,BPC_Clinical_Trials_Determination,BPC_Clinical_Trials_Determination,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, OH, OK, OR, PA, PR, RI, SC, SD, TN, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,BPC_Clinical_Trials_Determination_TX_DC_KY_NY,BPC_Clinical_Trials_Determination,1,0,0,YK09us," DC, KY, NY, TX"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,BPC_Clinical_Trials_MD,BPC_Clinical_Trials,1,0,0,yk09us, MD
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,BPC_Clinical_Trials_Provision_Shall_Apply,BPC_Clinical_Trials_Provision_Shall_Apply,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,2,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_Comment,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us, IL
GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,GSLOT-11133-XP_Benefit_Provisions_Clinical_Trials,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,2,0,1,yk09us, IL
