Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'If_Mirroring_No', 'DEF_Alternative_Care', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""MIRRORINGIND"" operator=""EQ"" compValue=""N"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""DEF_Alternative_Care"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,GSLOT-11133-XP_Definition,If_Rel_Provider_Reimburse_Not_100,DEF_Domestic_Provider,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""RELATEDPROVIDERREIMBURSE"" operator=""NE"" compValue=""1"" compValueType=""float"" /></Criteria>",Section,,
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'If_Mirroring_No', 'DEF_Experimental_or_Investigational_Treatment', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""MIRRORINGIND"" operator=""EQ"" compValue=""N"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""DEF_Experimental_or_Investigational_Treatment"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'If_Mirroring_No', 'DEF_Independent_Review_Panel', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""MIRRORINGIND"" operator=""EQ"" compValue=""N"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""DEF_Independent_Review_Panel"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'If_Mirroring_No', 'DEF_Medically_Necessary_and_Appropriate', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""MIRRORINGIND"" operator=""EQ"" compValue=""N"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""DEF_Medically_Necessary_and_Appropriate_MO"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'If_MO', 'DEF_Medically_Necessary_and_Appropriate', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQFORMNUMBERSTATE"" operator=""EQ"" compValue=""MO"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""DEF_Medically_Necessary_and_Appropriate_MO"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'If_Mirroring_No', 'DEF_Off_Label_Drug_Use', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""MIRRORINGIND"" operator=""EQ"" compValue=""N"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""DEF_Off_Label_Drug_Use"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,GSLOT-11133-XP_Definition,Transplant_Applies,DEF_Transplant_Outer_Section,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""TRANSPLANTCOVG"" operator=""NE"" compValue=""NO COVERAGE"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_Definition,Query STOPLOSSAGGREGATE Standard,READ:Stop_Loss_Contract_DSG:STOPLOSSAGGREGATE,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""STOPLOSSAGGREGATE"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Definition,Query STOPLOSSSPECIFIC Standard,READ:Stop_Loss_Contract_DSG:STOPLOSSSPECIFIC,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""STOPLOSSSPECIFIC"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
"('Stop_Loss_Contract', 'GSLOT-11133-XP_Definition', 'Supress', 'Stop_Loss_2023SL_Header_Footer_Normal_Numbering', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""EQ"" compValue=""NEVERSHOW"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""Stop_Loss_2023SL_Header_Footer_Normal_Numbering_Comment"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
