Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Criteria,GP_Conformity_With_Law,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""EQ"" compValue=""NEBRASKA"" rParen="""" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""EQ"" compValue=""NE"" connector="""" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,No_New_Laser_Renewal_At_Renewal,GP_No_New_Special_Conditions_Rider_at_Renewal,"<Criteria><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LASERATRENEWAL"" operator=""EQ"" compValue=""6170"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEIND"" operator=""NE"" compValue=""Y"" rParen="")"" connector=""OR"" /><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LASERATRENEWAL"" operator=""EQ"" compValue=""6170"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEIND"" operator=""EQ"" compValue=""Y"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEMGR"" operator=""NE"" compValue=""PARETO"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEMGR"" operator=""NE"" compValue=""ARTEX"" rParen="")"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,If_Packaged_With_Other_Benifits,GP_Premium_Discount,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""PACKAGEOTHERBENIND"" operator=""EQ"" compValue=""Y"" rParen="""" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Renewal_Rate_Cap_Applies_and_Aggregate_Specific_Deductible_Applies,GP_Renew_Rate_Increase_Cap_Deductible_Applies,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""RENEWALRATECAPIND"" operator=""EQ"" compValue=""Y"" rParen="""" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""NE"" compValue=""0"" compValueType=""float"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""NE"" compValue=""NULL"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Renewal_Rate_Cap_Applies_and_Aggregate_Specific_Deductible_Does_Not_Apply,GP_Renew_Rate_Increase_Cap_No_Deductible,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""RENEWALRATECAPIND"" operator=""EQ"" compValue=""Y"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""EQ"" compValue=""0"" compValueType=""float"" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""AGGRSPECDEDUCAMT"" operator=""EQ"" compValue=""NULL"" rParen="")"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Renewal_Rate_Cap_Applies,GP_Renewal_Rate_Increase_Cap,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""RENEWALRATECAPIND"" operator=""EQ"" compValue=""Y"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Not_No_New_Laser_Renewal_At_Renewal,GP_Special_Conditions_Rider_at_Renewal,"<Criteria><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LASERATRENEWAL"" operator=""NE"" compValue=""6170"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEIND"" operator=""NE"" compValue=""Y"" rParen="")"" connector=""OR"" /><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_LASERATRENEWAL"" operator=""NE"" compValue=""6170"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEIND"" operator=""EQ"" compValue=""Y"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEMGR"" operator=""NE"" compValue=""PARETO"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""CAPTIVEMGR"" operator=""NE"" compValue=""ARTEX"" rParen="")"" /></Criteria>",Section,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Criteria,POLICY_RENEWAL_DATE = Renewal Effective Date,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""ANNIVEFFDT"" operator=""GT"" compValue=""1900-01-01"" compValueType=""dateTime"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""POLICY_RENEWAL_DATE"" dtype=""dateTime"" static=""false"" global=""false"" default=""""><VariableValue varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""RENEWALEFFDT"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,Query STOPLOSSSPECIFIC Standard,READ:Stop_Loss_Contract_DSG:STOPLOSSSPECIFIC,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""STOPLOSSSPECIFIC"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_General_Provisions,If_Anniversary_date_null,Set_Policy_Lanuage,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""ANNIVEFFDT"" operator=""EQ"" compValue=""NULL"" rParen="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_PREMIUM_DISCOUNT_POLICY_LANGUAGE"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Policy"" /></VariableItem></VariableList>",
