Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Query XQADFs Standard,READ:Stop_Loss_Contract_DSG:ADF,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""ADF"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Query STOPLOSSAGGREGATE Standard,READ:Stop_Loss_Contract_DSG:STOPLOSSAGGREGATE,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""STOPLOSSAGGREGATE"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Query STOPLOSSSPECIFIC Standard,READ:Stop_Loss_Contract_DSG:STOPLOSSSPECIFIC,"<Query><From fromDataSourceGrp=""Stop_Loss_Contract_DSG"" fromTable=""STOPLOSSSPECIFIC"" /><To fromField=""CONTRACTFK"" dataSourceGrp=""Stop_Loss_Contract_DSG"" table=""CONTRACT"" field=""CONTRACTPK"" /></Query>",Read Rule,,
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Benefits - Medical excluding Pres Drugs,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""PRESCRIPTIONDRUGLIVES"" operator=""EQ"" compValue=""NULL"" rParen="""" connector=""AND"" /><CriteriaStatementList lParen=""("" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALEXCLDRUGIND"" operator=""EQ"" compValue=""NULL"" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALEXCLDRUGIND"" operator=""EQ"" compValue=""N"" rParen="")"" connector="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_COVERED_BENEFIT_MED_EXCL_PRES_DRUG"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Medical, excluding Prescription Drugs covered under a Prescription Drug Plan"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Benefits - Medical includes Pres Drugs,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""PRESCRIPTIONDRUGLIVES"" operator=""NE"" compValue=""NULL"" connector=""AND"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""MEDICALEXCLDRUGIND"" operator=""NE"" compValue=""NULL"" rParen="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_COVERED_BENEFIT_MED_INCL_PRES_DRUG"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Medical &lt;br&gt;Prescription Drug Plan (PDP)"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Benefits Dental,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""DENTALLIVES"" operator=""NE"" compValue=""NULL"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_DENTAL"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Dental Plan"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Benefits STD,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""STDLIVES"" operator=""NE"" compValue=""NULL"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_STD"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""STD Plan"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Benefits Vision,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSAGGREGATE"" varField=""VISIONLIVES"" operator=""NE"" compValue=""NULL"" rParen="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_VISION"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Vision Plan"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Units 2 Tier,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TIEREDLIVESAGG"" operator=""EQ"" compValue=""6430"" rParen="""" connector=""OR"" /><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TIEREDLIVESAGG"" operator=""EQ"" compValue=""6433"" connector="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_COVERED_UNITS_2T"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Single Employee, Employee and Family"" /></VariableItem></VariableList>",
Stop_Loss_Contract,GSLOT-11133-XP_Schedule_of_Benefit_Aggregate,Criteria,Set Covered Units 3 Tier,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_TIEREDLIVESAGG"" operator=""EQ"" compValue=""6431"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""SUD_COVERED_UNITS_3T"" dtype=""string"" static=""false"" global=""false"" default=""""><VariableValue varValue=""Single Employee, Employee and One Dependent, Employee and Family"" /></VariableItem></VariableList>",
