Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Maintenance_Code_Commenting,Maintenance_Code_Commenting,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Maintenance_Code_Commenting,Maintenance_Code_Commenting,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Comment,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,2,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_Comment,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us, IL
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,2,0,1,yk09us, IL
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,2,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Roman_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,1,0,1,yk09us, IL
GSLOT-11133-XP_Stop_Loss_Contract,GSLOT-11133-XP_Stop_Loss_Contract,Stop_Loss_2023SL_Header_Footer_Roman_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Roman_Numbering,2,0,1,yk09us, IL
