Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,RX_Plus,RX_Claims_Service,1,0,0,YK09us, WV
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,RX_Standard,RX_Claims_Service,1,0,0,YK09us, WV
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,2,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_Comment,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,1,0,1,yk09us, IL
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,Stop_Loss_2023SL_Header_Footer_Normal_Numbering_IL,Stop_Loss_2023SL_Header_Footer_Normal_Numbering,2,0,1,yk09us, IL
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,YRR_Authorizations_to_Release_Information,YRR_Authorizations_to_Release_Information,1,0,0,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,YRR_Bookmark,YRR_Bookmark,1,0,0,yk09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
GSLOT-11133-XP_Your_Right_Responsibility,GSLOT-11133-XP_Your_Right_Responsibility,YRR_Disclosure_Requirements,YRR_Disclosure_Requirements,1,0,0,YK09us," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
