Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
Reference_Based_Pricing,Reference_Based_Pricing,Anniversary_Effective_Date,Anniversary_Effective_Date,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,Contract_Effective_Date,Contract_Effective_Date,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,Header_Footer_No_Page_Number_F18,Header_Footer_No_Page_Number_F18,4,0,1,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Company_Name,RBP_Company_Name,1,0,0,US\uu49," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Company_Name_NY,RBP_Company_Name,1,0,0,US\uv90, NY
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Final_Paragraph,RBP_Final_Paragraph,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Heading,RBP_Heading,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Office_Address_KY,RBP_Office_Address_KY,2,0,0,ys20us, KY
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Reimbursement_AMPS_10,RBP_Reimbursement_AMPS_10,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Reference_Based_Pricing,Reference_Based_Pricing,RBP_Reimbursement_AMPS_12,RBP_Reimbursement_AMPS_12,1,0,0,IE\y159," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
