Category,DocName,CriteriaName,ParentRule,CriteriaDefinition,RuleType,FurtherInfo,Label
"('Stop_Loss_Contract', 'Reference_Based_Pricing', 'If_Anniversary_Effective_Date_is_Not_Null', 'Anniversary_Effective_Date', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""ANNIVEFFDT"" operator=""NE"" compValue=""NULL"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""Anniversary_Effective_Date"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
"('Stop_Loss_Contract', 'Reference_Based_Pricing', 'If_Anniversary_Effective_Date_is_Null', 'Contract_Effective_Date', '<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""ANNIVEFFDT"" operator=""EQ"" compValue=""NULL"" rParen="""" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""Contract_Effective_Date"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,Reference_Based_Pricing,Actively_At_Work_Applies,Increment Counter for Fee Reimbursement Endorsement,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""ACTIVELYATWORKIND"" operator=""EQ"" compValue=""Y"" rParen="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" varOperator=""+"" /><VariableValue varValue=""1"" /></VariableItem></VariableList>",
Stop_Loss_Contract,Reference_Based_Pricing,Inpatient_Mental_Illness_Benefit_Is_No_Waiver,Increment Counter for Fee Reimbursement Endorsement,"<Criteria><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""XQPL_INPATIENTMENTALBENEFIT"" operator=""EQ"" compValue=""6390"" rParen="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" varOperator=""+"" /><VariableValue varValue=""1"" /></VariableItem></VariableList>",
Stop_Loss_Contract,Reference_Based_Pricing,State not MS or NH,Increment Counter for Fee Reimbursement Endorsement,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""NE"" compValue=""MS"" connector=""AND"" /><CriteriaStatementList lParen="""" varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""NE"" compValue=""NH"" rParen="""" connector="""" /></Criteria>",Variables,"<VariableList><VariableItem varName=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" varOperator=""+"" /><VariableValue varValue=""1"" /></VariableItem></VariableList>",
Stop_Loss_Contract,Reference_Based_Pricing,State Not MT,Increment Counter for Fee Reimbursement Endorsement,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""NE"" compValue=""MT"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" varOperator=""+"" /><VariableValue varValue=""1"" /></VariableItem></VariableList>",
Stop_Loss_Contract,Reference_Based_Pricing,Tranplant_Applies,Increment Counter for Fee Reimbursement Endorsement,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""STOPLOSSSPECIFIC"" varField=""TRANSPLANTIND"" operator=""EQ"" compValue=""Y"" /></Criteria>",Variables,"<VariableList><VariableItem varName=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" dtype=""integer"" static=""false"" global=""false"" default=""0""><VariableValue varVariable=""IUD_FEE_REIMBURSEMENT_ENDORSEMENT"" varOperator=""+"" /><VariableValue varValue=""1"" /></VariableItem></VariableList>",
"('Stop_Loss_Contract', 'Reference_Based_Pricing', 'IF KY', 'RBP_Office_Address_KY', '<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""STATE"" operator=""EQ"" compValue=""KY"" /></Criteria>', 'ContentGroup', '<?xml version=""1.0"" encoding=""UTF-8""?>\r\n<ContentGroupList>\r\n  <ContentGroup contentGrpName=""RBP_Office_Address_KY"" contentGrpId=""DUMMY_1234"" />\r\n</ContentGroupList>\r\n\r\n', None)"
Stop_Loss_Contract,Reference_Based_Pricing,IF RBP is AMPS 10,RBP_Reimbursement_AMPS_10,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""VENDORNAME"" operator=""EQ"" compValue=""RBP - AMPS (10% OF BILLED FEE)"" /></Criteria>",Section,,
Stop_Loss_Contract,Reference_Based_Pricing,If RBP is AMPS 12,RBP_Reimbursement_AMPS_12,"<Criteria><CriteriaStatementList varDSGrp=""Stop_Loss_Contract_DSG"" varTable=""CONTRACT"" varField=""VENDORNAME"" operator=""EQ"" compValue=""RBP - AMPS (12% OF BILLED FEE)"" /></Criteria>",Section,,
