Document,SubDoc Name,Content Item Name,Content Group,Major Version,Minor Version,Shared Content Item,Item Author,States
Your_Right_Responsibility,Your_Right_Responsibility,Header_Footer_With_Page_Number,Header_Footer_With_Page_Number,5,0,1,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Authorizations_to_Release_Information,YRR_Authorizations_to_Release_Information,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Disclosure_Requirements,YRR_Disclosure_Requirements,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Disclosure_Requirements_If_You_Fail,YRR_Disclosure_Requirements_If_You_Fail,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Disclosure_Requirements_Your_Signature,YRR_Disclosure_Requirements_Your_Signature,1,0,0,US\k651," AK, AL, AR, AZ, CO, CT, DC, DE, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Disclosure_Requirements_Your_Signature_CA_MT,YRR_Disclosure_Requirements_Your_Signature,1,0,0,YS20us," CA, MT"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Disclosure_Requirements_Your_Signature_FL,YRR_Disclosure_Requirements_Your_Signature,1,0,0,US\k651, FL
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Disclosure_Requirements_Your_Signature_OR,YRR_Disclosure_Requirements_Your_Signature,1,0,0,yo50us, OR
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Hold_Harmless,YRR_Hold_Harmless,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Hold_Harmless_VT,YRR_Hold_Harmless,1,0,0,US\k651, VT
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Notice_of_Legal_Action,YRR_Notice_of_Legal_Action,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Plan_Changes,YRR_Plan_Changes,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Plan_Changes_WI,YRR_Plan_Changes,1,0,0,US\k651, WI
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Refund_of_Overpayment,YRR_Refund_of_Overpayment,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OR, PA, PR, RI, SC, SD, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Refund_of_Overpayment_OK,YRR_Refund_of_Overpayment,1,0,0,US\k651, OK
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Refund_of_Overpayment_TN,YRR_Refund_of_Overpayment,1,0,0,US\k651, TN
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Refund_of_Overpayment_TX,YRR_Refund_of_Overpayment,1,0,0,US\k651, TX
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Reponsibility_For_Your_TPA,YRR_Reponsibility_For_Your_TPA,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Reporting_Requirements,YRR_Reporting_Requirements,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Reporting_Requirements_Aggregate_Benefit,YRR_Reporting_Requirements_Aggregate_Benefit,1,0,0,us\kl63," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, ND, NE, NJ, NM, NV, NY, OH, OK, PA, PR, RI, SC, SD, UT, VA, VT, WA, WI, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Reporting_Requirements_Aggregate_Benefit_KS_MS_MO_MT_NC_NH_TN_TX_NY_WV,YRR_Reporting_Requirements_Aggregate_Benefit,1,0,0,us\kl63," KS, MO, MS, MT, NC, NH, NY, OR, TN, TX, WV"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Reporting_Requirements_Renewal,YRR_Reporting_Requirements_Renewal,1,0,0,US\k651," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Reporting_Requirements_Specific_Benefit,YRR_Reporting_Requirements_Specific_Benefit,1,0,0,US\uv90," AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, PR, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Right_of_Recovery,YRR_Right_of_Recovery,1,0,0,US\k651," AK, AL, AR, AZ, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, ND, NE, NH, NJ, NM, NV, OH, OK, OR, PA, PR, RI, SC, SD, TX, UT, VA, VT, WA, WI, WV, WY"
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Right_of_Recovery_CA,YRR_Right_of_Recovery,2,0,0,YS20us, CA
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Right_of_Recovery_NC,YRR_Right_of_Recovery,1,0,0,US\k651, NC
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Right_of_Recovery_TN,YRR_Right_of_Recovery,1,0,0,US\k651, TN
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Rx_Plus_WV,YRR_Rx_Plus,1,0,0,IE\y159, WV
Your_Right_Responsibility,Your_Right_Responsibility,YRR_Rx_Standard_WV,YRR_Rx_Standard,1,0,0,IE\y159, WV
